City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,12.18,83,0,1.34,US,1679078159
1,boguchany,58.3814,97.4531,0.21,90,100,4.03,RU,1679078160
2,coquimbo,-29.9533,-71.3436,22.85,64,0,6.17,CL,1679078100
3,norman wells,65.282,-126.8329,-20.98,65,75,1.03,CA,1679078160
4,rikitea,-23.1203,-134.9692,26.39,74,97,7.1,PF,1679078161
5,salalah,17.0151,54.0924,27.05,78,40,2.57,OM,1679078161
6,albany,42.6001,-73.9662,9.21,76,100,3.36,US,1679078162
7,kapaa,22.0752,-159.319,25.1,84,0,2.06,US,1679078162
8,saint-philippe,-21.3585,55.7679,25.77,84,100,0.41,RE,1679078163
9,souillac,-20.5167,57.5167,26.21,94,75,1.54,MU,1679078163
10,san quintin,30.4833,-115.95,16.13,50,15,3.22,MX,1679078163
11,tiksi,71.6872,128.8694,-8.07,85,100,6.33,RU,1679078164
12,ribeira grande,38.5167,-28.7,17.22,82,20,5.81,PT,1679078164
13,nanortalik,60.1432,-45.2371,-1.13,75,100,1.11,GL,1679078165
14,rodrigues alves,-7.738,-72.6509,24.11,69,100,1.01,BR,1679078166
15,bluff,-46.6,168.3333,12.67,71,82,8.85,NZ,1679078166
16,kendari,-3.945,122.4989,24.31,89,75,0.75,ID,1679078167
17,punta arenas,-53.15,-70.9167,10.06,62,0,13.89,CL,1679078132
18,ushuaia,-54.8,-68.3,6.81,70,75,10.8,AR,1679078072
19,lagoa,39.05,-27.9833,15.42,85,100,7.66,PT,1679078168
20,bethel,41.3712,-73.414,14.79,46,0,4.12,US,1679078168
21,edea,3.8,10.1333,25.92,81,18,1.64,CM,1679078169
22,ilo,-17.6394,-71.3375,24.48,73,0,6.17,PE,1679078170
23,yellowknife,62.456,-114.3525,-6.71,68,20,2.57,CA,1679077900
24,soyo,-6.1349,12.3689,24.88,80,97,1.24,AO,1679078170
25,mataura,-46.1927,168.8643,12.49,90,47,1.09,NZ,1679078171
26,cockburn town,21.4612,-71.1419,24.98,44,40,9.26,TC,1679078171
27,shaoyang,27.2315,111.4525,7.56,82,100,1.86,CN,1679078172
28,venado tuerto,-33.7456,-61.9688,37.37,22,0,4.32,AR,1679078172
29,cape town,-33.9258,18.4232,21.6,82,40,4.63,ZA,1679078137
30,castro,-24.7911,-50.0119,25.02,58,100,2.79,BR,1679078173
31,hovd,48.0056,91.6419,-1.79,57,62,0.37,MN,1679078173
32,sao joao da barra,-21.6403,-41.0511,29.05,77,43,5.37,BR,1679078174
33,west wendover,40.7391,-114.0733,2.56,35,0,3.6,US,1679078175
34,carnarvon,-24.8667,113.6333,22.71,71,0,10.56,AU,1679078175
35,kahului,20.8947,-156.47,26.58,81,20,0.45,US,1679077997
36,qaanaaq,77.484,-69.3632,-25.12,91,48,1.35,GL,1679078176
37,upernavik,72.7868,-56.1549,-14.12,92,100,0.7,GL,1679078176
38,mehamn,71.0357,27.8492,-9.03,79,40,4.63,NO,1679078177
39,ahuimanu,21.4447,-157.8378,25.84,83,20,0.0,US,1679078177
40,kastamonu,41.5,33.6667,3.55,96,100,1.95,TR,1679078047
41,barrow,71.2906,-156.7887,-25.99,70,100,4.12,US,1679078178
42,jamestown,42.097,-79.2353,9.77,96,100,5.66,US,1679078178
43,atambua,-9.1061,124.8925,22.46,90,100,1.34,ID,1679078179
44,mount isa,-20.7333,139.5,23.87,94,40,0.0,AU,1679078179
45,eseka,3.65,10.7667,25.52,76,63,2.15,CM,1679078180
46,ostersund,63.1792,14.6357,0.25,86,100,8.75,SE,1679078180
47,pogar,52.554,33.2591,-0.06,89,16,4.43,RU,1679078181
48,kysyl-syr,63.8986,122.7617,-2.73,89,100,5.86,RU,1679078181
49,atuona,-9.8,-139.0333,26.75,81,100,7.21,PF,1679078182
50,kurmanayevka,52.5093,52.0675,-0.13,87,57,1.65,RU,1679078182
51,nakamura,32.9833,132.9333,12.88,98,100,2.85,JP,1679078183
52,bongandanga,1.5,21.05,21.56,86,42,1.11,CD,1679078183
53,nikolskoye,59.7035,30.7861,-1.06,94,18,2.36,RU,1679078184
54,ponta do sol,32.6667,-17.1,19.45,65,84,1.33,PT,1679078184
55,leh,34.1667,77.5833,-6.37,82,95,0.64,IN,1679078184
56,avarua,-21.2078,-159.775,27.03,89,75,2.57,CK,1679078185
57,port alfred,-33.5906,26.891,23.42,80,100,3.41,ZA,1679078185
58,goundam,16.4145,-3.6708,28.81,6,29,3.22,ML,1679078186
59,leningradskiy,69.3833,178.4167,-13.36,76,92,3.45,RU,1679078186
60,saskylakh,71.9167,114.0833,-20.62,94,100,10.0,RU,1679078187
61,lorengau,-2.0226,147.2712,25.52,86,100,4.54,PG,1679078187
62,hobart,-42.8794,147.3294,16.14,72,38,3.09,AU,1679077950
63,beloha,-25.1667,45.05,21.02,85,0,1.64,MG,1679078188
64,kieta,-6.2167,155.6333,25.15,85,67,0.78,PG,1679078189
65,airai,-8.9266,125.4092,15.46,93,91,0.41,TL,1679078189
66,alofi,-19.0595,-169.9187,23.94,94,75,1.54,NU,1679078190
67,christchurch,-43.5333,172.6333,11.11,86,14,3.6,NZ,1679078009
68,taoudenni,22.6783,-3.9836,30.29,6,53,4.27,ML,1679078190
69,bredasdorp,-34.5322,20.0403,20.26,69,6,5.45,ZA,1679078191
70,kudahuvadhoo,2.6708,72.8944,27.61,73,49,2.41,MV,1679078192
71,nicoya,10.1483,-85.452,31.89,49,34,0.64,CR,1679078193
72,lebu,-37.6167,-73.65,16.83,77,100,5.7,CL,1679078193
73,tasiilaq,65.6145,-37.6368,-6.91,68,0,3.7,GL,1679078194
74,beringovskiy,63.05,179.3167,-15.25,94,88,2.03,RU,1679078194
75,college,64.8569,-147.8028,-12.89,73,75,1.54,US,1679078194
76,namatanai,-3.6667,152.4333,25.35,82,100,1.35,PG,1679078195
77,chimoio,-19.1164,33.4833,17.57,97,99,0.25,MZ,1679078195
78,madimba,-10.4,40.3333,27.62,78,20,5.14,TZ,1679078195
79,namibe,-15.1961,12.1522,23.01,84,100,1.26,AO,1679078196
80,longyearbyen,78.2186,15.6401,-14.09,85,75,2.57,SJ,1679078196
81,cabedelo,-6.9811,-34.8339,29.37,71,100,4.24,BR,1679078197
82,hermanus,-34.4187,19.2345,17.11,79,13,5.83,ZA,1679078197
83,presidencia roque saenz pena,-26.7852,-60.4388,27.51,71,99,2.26,AR,1679078197
84,chuy,-33.6971,-53.4616,26.6,73,100,2.38,UY,1679078198
85,rugeley,52.7593,-1.9369,12.51,78,99,3.5,GB,1679078198
86,makakilo city,21.3469,-158.0858,25.18,82,75,2.06,US,1679078199
87,port hawkesbury,45.6169,-61.3485,4.39,94,100,6.26,CA,1679078199
88,synya,65.3718,58.0387,-12.8,96,92,3.01,RU,1679078199
89,hasaki,35.7333,140.8333,9.22,92,100,9.34,JP,1679078200
90,bacolod,10.6667,122.95,25.01,85,95,3.72,PH,1679078157
91,hargeysa,9.56,44.065,23.48,62,100,3.54,SO,1679078200
92,kathu,7.9178,98.3332,24.9,73,44,5.43,TH,1679078201
93,thompson,55.7435,-97.8558,-14.91,66,20,0.0,CA,1679078201
94,hilo,19.7297,-155.09,27.93,84,0,0.45,US,1679077915
95,thinadhoo,0.5333,72.9333,27.95,74,100,3.08,MV,1679078202
96,aloleng,16.1307,119.7824,24.44,81,0,2.99,PH,1679078202
97,sorland,67.667,12.6934,0.92,56,100,14.48,NO,1679078203
98,winslow,35.0242,-110.6974,8.1,53,75,4.12,US,1679078203
99,vaini,-21.2,-175.2,26.09,89,75,7.72,TO,1679078204
100,tessalit,20.1986,1.0114,29.09,7,0,3.35,ML,1679078204
101,birao,10.2849,22.7882,25.98,20,93,1.98,CF,1679078204
102,ancud,-41.8697,-73.8203,13.59,47,100,2.61,CL,1679078205
103,alice springs,-23.7,133.8833,25.75,24,5,2.06,AU,1679078206
104,arraial do cabo,-22.9661,-42.0278,29.92,58,20,4.12,BR,1679078206
105,pevek,69.7008,170.3133,-11.02,73,56,9.12,RU,1679078206
106,verkhoshizhemye,58.011,49.1038,-1.89,95,100,4.51,RU,1679078207
107,viedma,-40.8135,-62.9967,19.17,49,57,6.51,AR,1679078207
108,petersburg,37.2279,-77.4019,18.29,64,100,1.54,US,1679077913
109,lasa,46.6166,10.7002,9.49,84,39,1.09,IT,1679078208
110,busselton,-33.65,115.3333,12.38,87,0,3.7,AU,1679078208
111,high level,58.5169,-117.136,-4.94,93,20,1.54,CA,1679078209
112,vila velha,-20.3297,-40.2925,27.97,81,40,5.14,BR,1679078209
113,micheweni,-4.9667,39.8333,26.82,82,40,3.62,TZ,1679078210
114,port augusta,-32.5,137.7667,26.29,25,13,3.77,AU,1679078210
115,narsaq,60.9167,-46.05,0.12,72,96,0.67,GL,1679078210
116,pontian kecil,1.4801,103.3899,25.18,89,96,2.72,MY,1679078211
117,puerto ayora,-0.7393,-90.3518,31.98,82,41,3.13,EC,1679078211
118,ahipara,-35.1667,173.1667,18.87,95,17,2.84,NZ,1679078211
119,olinda,-8.0089,-34.8553,28.85,65,20,3.6,BR,1679078212
120,vila,42.0304,-8.1588,7.49,3,55,2.6,PT,1679078212
121,kruisfontein,-34.0033,24.7314,21.05,92,81,4.91,ZA,1679078213
122,cayenne,4.9333,-52.3333,30.02,62,40,4.63,GF,1679078213
123,khatanga,71.9667,102.5,-22.67,94,100,6.89,RU,1679078214
124,butterworth,5.3991,100.3638,28.02,83,20,2.06,MY,1679078214
125,codrington,-38.2667,141.9667,23.1,49,100,9.45,AU,1679078215
126,araouane,18.9048,-3.5265,27.81,6,0,3.9,ML,1679078215
127,new norfolk,-42.7826,147.0587,15.95,70,67,2.89,AU,1679078215
128,tarakan,3.3,117.6333,26.48,82,67,2.97,ID,1679078216
129,gat,31.61,34.7642,16.89,100,1,2.73,IL,1679078216
130,bethanien,-26.502,17.1583,25.55,30,32,7.34,NA,1679078217
131,alugan,12.2188,125.4808,25.77,85,90,5.39,PH,1679078218
132,hay river,60.8156,-115.7999,4.98,44,40,2.06,CA,1679078218
133,tezu,27.9167,96.1667,20.81,43,100,1.72,IN,1679078219
134,dhidhdhoo,6.8833,73.1,28.14,77,84,3.16,MV,1679078220
135,wahpeton,46.2652,-96.6059,-13.92,72,40,12.86,US,1679078220
136,tuktoyaktuk,69.4541,-133.0374,-32.0,68,20,3.09,CA,1679078220
137,georgetown,5.4112,100.3354,28.86,83,20,2.06,MY,1679077992
138,igarka,67.4667,86.5833,-18.66,94,100,3.68,RU,1679078221
139,severodvinsk,64.5635,39.8302,-6.94,95,15,2.76,RU,1679078221
140,bengkulu,-3.8004,102.2655,24.17,89,95,1.91,ID,1679078222
141,walvis bay,-22.9575,14.5053,17.83,81,12,5.75,NA,1679078222
142,krasnoselkup,65.7,82.4667,-10.64,95,100,5.82,RU,1679078223
143,samarai,-10.6167,150.6667,26.0,80,94,1.66,PG,1679078223
144,general pico,-35.6566,-63.7568,35.97,25,0,3.4,AR,1679078224
145,ambilobe,-13.2,49.05,23.57,96,99,1.42,MG,1679078224
146,qaqortoq,60.7167,-46.0333,-2.6,71,100,0.92,GL,1679078224
147,east london,-33.0153,27.9116,23.52,83,0,4.12,ZA,1679078225
148,galle,6.0367,80.217,24.99,87,3,4.26,LK,1679078226
149,antofagasta,-23.65,-70.4,24.6,72,53,3.49,CL,1679078226
150,kavieng,-2.5744,150.7967,26.91,76,100,1.6,PG,1679078227
151,los llanos de aridane,28.6585,-17.9182,17.86,87,75,7.72,ES,1679078227
152,funadhoo,6.15,73.2667,27.6,77,100,2.46,MV,1679078228
153,pangnirtung,66.1451,-65.7125,-22.0,64,0,2.57,CA,1679078228
154,mapimi,25.8167,-103.85,23.69,21,23,1.98,MX,1679078229
155,comodoro rivadavia,-45.8667,-67.5,18.92,18,0,4.12,AR,1679078229
156,chokurdakh,70.6333,147.9167,-13.28,96,96,3.59,RU,1679078230
157,le passage,44.2014,0.6028,15.08,67,0,5.66,FR,1679078230
158,butaritari,3.0707,172.7902,26.8,74,99,2.28,KI,1679078231
159,cherskiy,68.75,161.3,-4.29,78,100,8.55,RU,1679078231
160,isangel,-19.55,169.2667,25.96,86,72,4.82,VU,1679078231
161,coihaique,-45.5752,-72.0662,13.97,47,0,2.06,CL,1679078232
162,palmer,42.1584,-72.3287,13.45,52,75,3.58,US,1679078063
163,laguna,38.421,-121.4238,18.94,64,0,3.6,US,1679078177
164,berlevag,70.8578,29.0864,-9.0,79,20,5.14,NO,1679078233
165,cabo san lucas,22.8909,-109.9124,28.12,50,0,4.12,MX,1679077987
166,clyde river,70.4692,-68.5914,-24.87,77,20,5.66,CA,1679078233
167,qui nhon,13.7667,109.2333,22.67,82,100,2.03,VN,1679078234
168,maceio,-9.6658,-35.7353,30.69,62,40,6.17,BR,1679078009
169,jacareacanga,-6.2222,-57.7528,22.52,98,100,0.95,BR,1679078234
170,kodiak,57.79,-152.4072,-2.27,86,100,10.29,US,1679078235
171,moron,-34.6534,-58.6198,34.44,57,2,2.93,AR,1679078235
172,bjelovar,45.8986,16.8489,4.59,60,49,1.64,HR,1679078236
173,eyl,7.9803,49.8164,26.69,83,19,5.4,SO,1679078236
174,kaka,37.3482,59.6143,17.1,48,6,3.55,TM,1679078237
175,fare,-16.7,-151.0167,27.68,76,100,6.97,PF,1679078237
176,torbay,47.6666,-52.7314,2.44,96,100,6.17,CA,1679078166
177,talnakh,69.4865,88.3972,-27.27,100,100,1.64,RU,1679077994
178,simpsonville,34.7371,-82.2543,15.18,94,100,7.2,US,1679078238
179,pontes e lacerda,-15.2261,-59.3353,26.64,80,100,1.02,BR,1679078239
180,bonfim,3.0833,-59.95,32.97,29,89,3.39,BR,1679078239
181,ballina,-28.8667,153.5667,21.12,99,36,3.06,AU,1679078240
182,minab,27.1467,57.0801,22.58,65,0,3.43,IR,1679078240
183,teguise,29.0605,-13.564,18.12,60,75,9.77,ES,1679077982
184,marienburg,54.0359,19.0266,6.6,58,100,7.04,PL,1679078241
185,kyenjojo,0.6328,30.6214,15.26,98,98,1.0,UG,1679078242
186,ostrovnoy,68.0531,39.5131,-9.55,91,32,6.8,RU,1679078243
187,talara,-4.5772,-81.2719,31.42,62,40,4.63,PE,1679078243
188,beira,-19.8436,34.8389,25.05,94,20,1.54,MZ,1679078244
189,itarema,-2.9248,-39.9167,25.5,84,100,3.37,BR,1679078244
190,beyneu,45.3167,55.2,8.18,46,0,6.44,KZ,1679078245
191,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,93,100,8.0,RU,1679078245
192,asadabad,34.7824,48.1185,7.97,69,0,2.23,IR,1679078246
193,narasapur,16.45,81.6667,23.5,76,96,2.66,IN,1679078246
194,bakchar,57.0186,82.0711,-6.31,92,19,3.32,RU,1679078246
195,hokitika,-42.7167,170.9667,11.44,86,10,1.69,NZ,1679078247
196,gavle,60.6745,17.1417,1.86,93,100,0.89,SE,1679078247
197,san jose,37.3394,-121.895,17.7,63,40,1.34,US,1679078215
198,sao jose da coroa grande,-8.8978,-35.1478,27.97,68,83,4.83,BR,1679078248
199,khvoynaya,58.9,34.5333,-11.01,99,58,1.3,RU,1679078248
200,nioro,13.35,-15.75,34.2,22,3,4.53,GM,1679078249
201,mitu,1.1983,-70.1733,35.38,30,6,1.62,CO,1679078249
202,flinders,-34.5833,150.8552,22.43,83,22,2.68,AU,1679078250
203,skjervoy,70.0311,20.9714,-7.0,69,0,9.52,NO,1679078250
204,ilulissat,69.2167,-51.1,-9.99,48,20,3.6,GL,1679078251
205,mkushi,-13.6202,29.3939,15.92,97,88,1.63,ZM,1679078251
206,severo-kurilsk,50.6789,156.125,-2.77,72,46,6.88,RU,1679078251
207,kailua,21.4022,-157.7394,25.99,84,20,0.0,US,1679077973
208,astoria,46.1879,-123.8313,13.57,52,0,3.09,US,1679078159
209,turayf,31.6725,38.6637,17.14,31,0,4.12,SA,1679078252
210,kalmunai,7.4167,81.8167,25.39,86,10,1.51,LK,1679078253
211,kaitangata,-46.2817,169.8464,6.92,87,4,3.0,NZ,1679078253
212,mar del plata,-38.0023,-57.5575,29.35,74,40,4.12,AR,1679078254
213,yinchuan,38.4681,106.2731,3.69,31,5,3.46,CN,1679078013
214,honiara,-9.4333,159.95,24.87,88,100,0.62,SB,1679078133
215,kisangani,0.5167,25.2,20.63,99,100,0.88,CD,1679078254
216,victoria,22.2855,114.1577,22.19,87,0,1.79,HK,1679078255
217,yerbogachen,61.2767,108.0108,-0.88,94,100,5.64,RU,1679078255
218,barroquinha,-3.0189,-41.1361,26.25,81,98,2.43,BR,1679078256
219,pak phanang,8.3511,100.202,24.99,78,27,2.62,TH,1679078256
220,bubaque,11.2833,-15.8333,25.02,78,96,9.56,GW,1679078256
221,ouadda,8.0777,22.4007,24.27,38,71,1.37,CF,1679078257
222,vardo,70.3705,31.1107,-10.01,73,0,6.69,NO,1679078257
223,buala,-8.145,159.5921,26.1,82,72,2.12,SB,1679078258
224,tuatapere,-46.1333,167.6833,9.42,79,82,1.79,NZ,1679078258
225,el retorno,2.3302,-72.6276,35.06,30,70,2.48,CO,1679078259
226,bhim tal,29.35,79.5667,11.4,55,60,1.74,IN,1679078259
227,aklavik,68.2191,-135.0107,-30.0,76,40,1.54,CA,1679078259
228,vestmannaeyjar,63.4427,-20.2734,1.55,51,0,2.57,IS,1679078260
229,saint george,37.1041,-113.5841,11.91,40,0,2.06,US,1679077984
230,avera,33.194,-82.5271,22.73,66,100,7.9,US,1679078260
231,ketchikan,55.3422,-131.6461,4.26,70,0,3.09,US,1679078261
232,bangui,4.3612,18.555,25.51,69,80,1.76,CF,1679078261
233,mahebourg,-20.4081,57.7,26.81,94,75,1.54,MU,1679078262
234,kenai,60.5544,-151.2583,-3.25,89,100,13.89,US,1679078137
235,luderitz,-26.6481,15.1594,17.47,86,76,4.09,NA,1679078263
236,esperance,-33.8667,121.9,17.27,70,100,3.52,AU,1679078263
237,port lincoln,-34.7333,135.8667,18.02,91,16,4.72,AU,1679078263
238,anchorage,61.2181,-149.9003,-1.31,79,100,4.92,US,1679078184
239,porto velho,-8.7619,-63.9039,29.03,70,40,1.54,BR,1679078264
240,progreso,21.2833,-89.6667,34.5,47,0,2.15,MX,1679078265
241,hithadhoo,-0.6,73.0833,28.14,75,100,3.35,MV,1679078265
242,port elizabeth,-33.918,25.5701,22.28,88,40,7.72,ZA,1679078217
243,rawah,34.4816,41.9093,17.72,55,0,6.49,IQ,1679078266
244,nouakchott,18.0858,-15.9785,22.96,77,6,4.54,MR,1679078267
245,kholodnyy,62.7167,147.95,-18.88,100,100,1.12,RU,1679078267
246,telfs,47.3,11.0667,15.71,72,94,2.7,AT,1679078268
247,sitka,57.0531,-135.33,6.94,53,75,8.23,US,1679078268
248,les cayes,18.2,-73.75,26.21,73,47,5.31,HT,1679078268
249,porto novo,6.4965,2.6036,29.9,76,7,4.85,BJ,1679078269
250,naze,28.3667,129.4833,18.51,91,81,10.12,JP,1679078269
251,markova,48.6758,24.4138,-0.31,65,26,1.53,UA,1679078270
252,karpinsk,59.7654,60.0085,0.14,97,100,1.64,RU,1679078270
253,tevaitoa,-16.7833,-151.5,27.91,75,100,6.45,PF,1679078270
254,cidreira,-30.1811,-50.2056,26.57,76,0,7.01,BR,1679078271
255,williston,48.147,-103.618,-11.22,72,100,4.02,US,1679078271
256,pitimbu,-7.4706,-34.8086,29.33,71,100,4.75,BR,1679078272
257,yar-sale,66.8333,70.8333,-15.7,95,100,5.75,RU,1679077996
258,gardez,33.5974,69.2259,6.25,83,69,1.33,AF,1679078272
259,pangody,65.85,74.4859,-10.45,95,100,5.08,RU,1679078273
260,zhigansk,66.7697,123.3711,-5.53,88,99,7.5,RU,1679078273
261,binzhou,37.3667,118.0167,7.1,68,100,3.48,CN,1679078273
262,kungurtug,50.5994,97.5228,-14.65,95,26,0.84,RU,1679078274
263,malibu,34.005,-118.8101,19.5,83,32,0.45,US,1679078218
264,sao filipe,14.8961,-24.4956,23.51,67,1,5.52,CV,1679078080
265,brae,60.3964,-1.353,4.81,68,41,7.03,GB,1679078275
266,yulara,-25.2406,130.9889,26.51,21,0,4.03,AU,1679078275
267,san patricio,28.017,-97.5169,13.93,48,49,8.39,US,1679078276
268,lompoc,34.6391,-120.4579,18.25,72,75,3.13,US,1679078276
269,tiarei,-17.5333,-149.3333,29.01,73,71,7.02,PF,1679078276
270,quelimane,-17.8786,36.8883,24.97,88,20,1.03,MZ,1679078277
